,index,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
185642,185642,2016-03-29 13:53:56,GOLF_2.0_TDI__R_line,privat,Angebot,5000,control,limousine,2010,manuell,110,golf,150000,8,diesel,volkswagen,nein,2016-03-29 00:00:00,0,17192,2016-03-29 14:42:22
17088,17088,2016-03-12 20:47:41,BMW_316i,privat,Angebot,2800,test,limousine,2001,manuell,105,3er,150000,9,benzin,bmw,nein,2016-03-12 00:00:00,0,54597,2016-03-29 07:44:54
189895,189895,2016-03-12 23:58:51,Vito_111_W639,privat,Angebot,4599,control,bus,2005,manuell,109,vito,150000,1,diesel,mercedes_benz,nein,2016-03-12 00:00:00,0,27749,2016-03-25 18:39:58
163625,163625,2016-03-23 21:49:52,Fiat_Panda_1.1__Nur_44786KM__Zahnriemen_NEU__Servo_!!,privat,Angebot,2999,test,kleinwagen,2009,manuell,54,panda,50000,10,benzin,fiat,nein,2016-03-23 00:00:00,0,46045,2016-03-28 04:45:36
143596,143596,2016-03-23 19:46:47,Bmw_323_Coupé,privat,Angebot,3500,control,coupe,2000,manuell,170,3er,150000,0,benzin,bmw,nein,2016-03-23 00:00:00,0,54290,2016-04-06 00:46:34
201040,201040,2016-03-27 14:54:05,Der_Sommer_kommt,privat,Angebot,10500,control,cabrio,2008,automatik,140,golf,150000,4,diesel,audi,ja,2016-03-27 00:00:00,0,22767,2016-03-30 19:47:37
244852,244852,2016-03-11 19:40:33,Mercedes_Benz_C_180_Kompressor_Classic,privat,Angebot,5480,test,limousine,2006,manuell,143,c_klasse,150000,4,benzin,mercedes_benz,nein,2016-03-11 00:00:00,0,1445,2016-04-06 00:16:40
323229,323229,2016-03-10 21:49:59,Ford_Mondeo_1.8_Turnier,privat,Angebot,1200,control,kombi,2002,manuell,110,mondeo,150000,12,benzin,ford,nein,2016-03-10 00:00:00,0,12043,2016-03-20 17:15:27
67709,67709,2016-04-03 19:47:27,Alfa_ROMEO_147_TÜV_2018,privat,Angebot,1600,test,limousine,2018,manuell,120,147,150000,3,benzin,alfa_romeo,nein,2016-04-03 00:00:00,0,6429,2016-04-07 08:44:24
194896,194896,2016-03-17 14:51:42,Audi_A4_1.6//Xenon//Klimaautomatik_//_Sommer+Winter,privat,Angebot,4000,control,limousine,2003,manuell,102,a4,125000,12,benzin,audi,nein,2016-03-17 00:00:00,0,59846,2016-04-06 21:17:47
21986,21986,2016-03-17 15:38:08,Nissan_Micra_1.2,privat,Angebot,1500,test,kleinwagen,2004,manuell,65,micra,150000,8,benzin,nissan,ja,2016-03-17 00:00:00,0,49828,2016-04-06 22:44:36
91689,91689,2016-03-26 16:50:06,Audi_TT_Roadster_1.8_T_Xenon__Bose_sound_v.privat,privat,Angebot,6390,control,cabrio,2002,manuell,150,tt,150000,5,benzin,audi,nein,2016-03-26 00:00:00,0,29525,2016-03-31 12:46:43
315156,315156,2016-03-17 15:50:00,Lexus_LS_430_President_Line_Facelift_DIE_ALTERNATIVE,privat,Angebot,11900,test,limousine,2004,automatik,281,golf,150000,4,benzin,sonstige_autos,nein,2016-03-17 00:00:00,0,19273,2016-03-24 10:17:29
240541,240541,2016-03-14 18:53:18,Sehr_guter_kleiner_Diesel_!_Gruene_Umweltplakette_!_Citroën_C2,privat,Angebot,1850,test,kleinwagen,2004,manuell,60,c2,150000,3,diesel,citroen,nein,2016-03-14 00:00:00,0,12349,2016-03-15 14:16:43
279990,279990,2016-04-01 20:56:22,Opel_Adam_1.0_ecoFLEX_Start/Stop_Glam,privat,Angebot,14750,test,kleinwagen,2014,manuell,116,andere,10000,11,benzin,opel,nein,2016-04-01 00:00:00,0,94447,2016-04-05 18:19:12
266004,266004,2016-03-22 22:46:44,Opel_Omega_Tuev_bis_10/2016_mit_Klima,privat,Angebot,550,control,limousine,2016,manuell,170,omega,150000,8,benzin,opel,nein,2016-03-22 00:00:00,0,32425,2016-03-28 15:19:14
138808,138808,2016-03-13 18:38:42,Porsche_Cayman,privat,Angebot,26750,test,coupe,2007,manuell,245,andere,60000,11,benzin,porsche,nein,2016-03-13 00:00:00,0,63796,2016-04-06 17:47:04
255480,255480,2016-03-08 00:38:15,Ford_Fiesta_V_1.4_Tdci_Facelift_Diesel_sparsam,privat,Angebot,2800,control,kleinwagen,2008,manuell,68,golf,150000,5,diesel,ford,nein,2016-03-07 00:00:00,0,14542,2016-04-07 11:45:32
227407,227407,2016-03-26 22:53:55,Vw_passat.1.8_5v,privat,Angebot,550,test,kombi,1997,manuell,0,passat,150000,0,benzin,volkswagen,nein,2016-03-26 00:00:00,0,27755,2016-03-27 07:40:13
326596,326596,2016-03-15 18:54:52,Volkswagen_Polo_1.6_TDI_DSG__Schiebedach__Klimaanlage_Xenon,privat,Angebot,14900,control,kleinwagen,2014,automatik,90,polo,50000,2,diesel,volkswagen,nein,2016-03-15 00:00:00,0,30177,2016-04-06 21:17:03
130429,130429,2016-03-26 16:38:15,Mazda_6_Sport_Kombi_2.0_Exclusive,privat,Angebot,1000,control,kombi,2003,manuell,141,6_reihe,150000,4,benzin,mazda,nein,2016-03-26 00:00:00,0,74211,2016-04-06 04:45:24
19335,19335,2016-03-31 18:48:41,Fiat_500_Sport_Klima_Leder_Alu_Servo_Zentral,privat,Angebot,5995,control,kleinwagen,2010,manuell,69,500,80000,5,benzin,fiat,nein,2016-03-31 00:00:00,0,33829,2016-04-02 14:44:50
325104,325104,2016-03-06 21:36:20,Ford_Focus_2.0_TDCi_DPF_Sport,privat,Angebot,2999,control,limousine,2006,manuell,136,focus,150000,2,diesel,ford,nein,2016-03-06 00:00:00,0,77761,2016-03-11 11:16:51
63971,63971,2016-03-13 09:46:14,Sportlich_sparsam_schnell_AUDI_TT,privat,Angebot,4000,control,limousine,2000,manuell,0,tt,150000,0,benzin,audi,nein,2016-03-13 00:00:00,0,21720,2016-03-19 12:16:06
150891,150891,2016-03-21 16:38:02,Audi_Sehr_gut_erhaltenes_A4_2.0,privat,Angebot,6950,control,limousine,2005,manuell,131,a4,125000,8,benzin,audi,nein,2016-03-21 00:00:00,0,52064,2016-03-30 03:16:08
306504,306504,2016-04-01 22:49:00,Volkswagen_Transporter_T4_TDI__7DB__ACV,privat,Angebot,3500,test,bus,1999,manuell,102,transporter,150000,10,diesel,volkswagen,nein,2016-04-01 00:00:00,0,14109,2016-04-05 21:45:03
231751,231751,2016-03-13 17:43:01,Alfa_Romeo,privat,Angebot,1500,control,coupe,2005,manuell,105,147,150000,5,benzin,alfa_romeo,ja,2016-03-13 00:00:00,0,66740,2016-04-06 17:46:30
218895,218895,2016-03-20 21:47:44,Audi_A6_Avant_3.0_TDI_DPF_quattro_S_tronic,privat,Angebot,32500,test,kombi,2012,automatik,245,a6,150000,1,diesel,audi,nein,2016-03-20 00:00:00,0,85049,2016-04-07 07:46:29
186937,186937,2016-03-07 18:42:14,Golf_6_GTI,privat,Angebot,15250,control,limousine,2009,automatik,211,golf,80000,9,benzin,volkswagen,nein,2016-03-07 00:00:00,0,86476,2016-03-30 11:15:24
102462,102462,2016-03-15 19:54:06,Unimog_U404_Oldtimer_Bj._1966_nur_5970_Orginalkilometer!!!,privat,Angebot,12300,control,suv,1966,manuell,82,andere,10000,3,benzin,mercedes_benz,nein,2016-03-15 00:00:00,0,97509,2016-04-07 02:16:37
189257,189257,2016-04-02 11:36:21,Astra_/_Klima_/_Rueckfahrtkamera_/_Navi_/_Anlage,privat,Angebot,1150,test,coupe,1999,manuell,75,astra,150000,0,benzin,opel,nein,2016-04-02 00:00:00,0,47445,2016-04-04 09:44:52
315426,315426,2016-03-12 23:55:26,Vw_Golf_4_1.9_TDI_Xenon_Tempomat_Klimatronic_TÜV_06/2017_Sauber,privat,Angebot,2000,control,limousine,2002,manuell,131,golf,150000,6,diesel,volkswagen,nein,2016-03-12 00:00:00,0,32423,2016-03-13 05:46:22
308484,308484,2016-04-01 12:36:40,Audi_A6_Avant_3.0_TDI_tiptronic_quattro_EURO_4__LEDER,privat,Angebot,7900,test,kombi,2006,automatik,224,a6,150000,2,diesel,audi,nein,2016-04-01 00:00:00,0,88364,2016-04-05 07:45:48
121668,121668,2016-03-19 09:52:56,Smart_smart_fortwo_softtouch__Sitzheizung__Scheckheft,privat,Angebot,4190,test,kleinwagen,2010,automatik,61,fortwo,70000,3,benzin,smart,nein,2016-03-19 00:00:00,0,14089,2016-03-20 11:49:07
124409,124409,2016-03-14 00:53:25,Mercedes_Benz_E_200,privat,Angebot,2050,control,limousine,1999,manuell,136,e_klasse,150000,8,benzin,mercedes_benz,nein,2016-03-13 00:00:00,0,35614,2016-04-04 15:44:39
156710,156710,2016-03-26 14:53:16,Suzuki_Baleno_Klima,privat,Angebot,965,control,kleinwagen,1999,manuell,86,andere,125000,8,benzin,suzuki,ja,2016-03-26 00:00:00,0,8371,2016-04-06 02:46:31
131068,131068,2016-03-16 13:54:23,Lamborghini_Gallardo_E_Gear_SE_Special_Edition_KAMERA/LIFTIN,privat,Angebot,77850,control,coupe,2005,automatik,519,golf,60000,10,benzin,sonstige_autos,nein,2016-03-16 00:00:00,0,50733,2016-04-06 12:45:47
338461,338461,2016-03-25 17:37:00,Opel_Vectra_1_6_Aut._115tkm_Nicht_fahrbereit!,privat,Angebot,600,test,limousine,2001,automatik,101,vectra,125000,10,benzin,opel,ja,2016-03-25 00:00:00,0,97877,2016-03-30 08:17:58
185374,185374,2016-03-28 20:56:08,Audi_A4_Avant_1.8,privat,Angebot,750,control,kombi,1996,manuell,125,a4,150000,10,benzin,audi,nein,2016-03-28 00:00:00,0,86830,2016-04-07 03:45:06
43222,43222,2016-04-03 11:54:37,Ford_Fiesta_mit_TÜV._Top_Auto_!!,privat,Angebot,750,control,kleinwagen,1999,manuell,75,fiesta,150000,10,benzin,ford,nein,2016-04-03 00:00:00,0,32756,2016-04-05 10:18:09
244185,244185,2016-04-02 15:49:23,C_220_CDI_T_Avantgarde_Blue_Eff.__NEUE_Bremsen__TÜV_und_Reifen,privat,Angebot,9995,control,kombi,2009,manuell,170,c_klasse,150000,10,diesel,mercedes_benz,nein,2016-04-02 00:00:00,0,23683,2016-04-06 14:45:53
148497,148497,2016-04-05 19:25:33,BMW_728i,privat,Angebot,7890,control,limousine,2000,automatik,193,7er,150000,3,benzin,bmw,nein,2016-04-05 00:00:00,0,65451,2016-04-05 19:25:33
199456,199456,2016-03-22 15:52:54,Land_Rover_Range_Rover_V8_HSE,privat,Angebot,12500,control,suv,2003,automatik,286,range_rover,150000,4,benzin,land_rover,nein,2016-03-22 00:00:00,0,71296,2016-04-06 05:45:46
311031,311031,2016-03-11 16:39:18,Seat_Ibiza_1.9_TDI_Sport_SELTEN_!,privat,Angebot,1750,test,kleinwagen,2002,manuell,110,ibiza,150000,1,diesel,seat,nein,2016-03-11 00:00:00,0,46284,2016-03-27 18:15:47
142268,142268,2016-03-30 10:36:25,Bmw_320_cabrio_M_Technik,privat,Angebot,6500,test,cabrio,2002,manuell,170,3er,150000,9,benzin,bmw,nein,2016-03-30 00:00:00,0,42277,2016-03-30 10:36:25
93768,93768,2016-04-05 00:58:06,Mercedes_Benz_E_350_CDI_COUPE_SILBER_SCHECKHEFT_MERCEDES,privat,Angebot,18000,control,coupe,2010,automatik,231,e_klasse,150000,4,diesel,mercedes_benz,nein,2016-04-04 00:00:00,0,21035,2016-04-07 11:15:30
177772,177772,2016-03-10 21:42:48,Renault_Clio_II__1_2__58_PS__TÜV_04.2017,privat,Angebot,1300,control,kleinwagen,2002,manuell,58,clio,150000,1,benzin,renault,nein,2016-03-10 00:00:00,0,89407,2016-03-14 05:15:31
283863,283863,2016-03-20 21:25:17,Volkswagen_VW_Golf_1.6_FSI_Tour_Liebhaberfahrzeug,privat,Angebot,6350,test,limousine,2007,manuell,116,golf,125000,3,benzin,volkswagen,nein,2016-03-20 00:00:00,0,35463,2016-04-06 05:15:26
204965,204965,2016-03-19 04:37:37,Fiat_Seicento_1.1,privat,Angebot,950,test,kleinwagen,2003,manuell,54,seicento,40000,10,benzin,fiat,nein,2016-03-18 00:00:00,0,91744,2016-03-25 07:16:51
278294,278294,2016-03-09 20:37:56,Skoda_Fabia___Combi___Sport,privat,Angebot,4100,test,kombi,2006,manuell,75,fabia,100000,3,benzin,skoda,nein,2016-03-09 00:00:00,0,54531,2016-03-14 14:45:26
17712,17712,2016-03-12 12:53:50,BMW_316_i_Compact_Exclusiv_Edition,privat,Angebot,550,test,limousine,2017,manuell,105,3er,150000,3,benzin,bmw,ja,2016-03-12 00:00:00,0,96199,2016-03-13 04:16:59
84116,84116,2016-03-10 08:55:13,Passat_Variant,privat,Angebot,650,test,kombi,1996,manuell,90,passat,150000,0,benzin,volkswagen,nein,2016-03-10 00:00:00,0,38855,2016-03-17 07:48:04
350983,350983,2016-03-16 18:48:20,Mazda_6_Sport_2.0_CD_Comfort,privat,Angebot,3000,control,limousine,2003,manuell,121,6_reihe,150000,6,diesel,mazda,nein,2016-03-16 00:00:00,0,12437,2016-03-17 17:16:40
230574,230574,2016-03-24 17:47:22,Fiat_punto_188__1.9_JTD___ELX,privat,Angebot,1850,control,kleinwagen,2000,manuell,80,punto,150000,7,benzin,fiat,nein,2016-03-24 00:00:00,0,22880,2016-04-07 11:15:49
107976,107976,2016-03-18 16:38:33,Oldtimer_Golf_2__1.8L_Injektion_Automatik_Sitzhzg_SD_12_Fach_ber.,privat,Angebot,700,test,kleinwagen,1985,automatik,90,golf,150000,11,benzin,volkswagen,ja,2016-03-18 00:00:00,0,58511,2016-03-30 17:16:11
100343,100343,2016-04-01 09:36:17,Porsche_Boxster_987_Facelift_2.9__Scheckheft_Porsche__unfallfrei,privat,Angebot,26800,test,cabrio,2009,manuell,256,boxster,100000,6,benzin,porsche,nein,2016-04-01 00:00:00,0,64689,2016-04-07 06:46:14
21661,21661,2016-03-21 14:40:33,Suzuki_Swift_1.3_Club,privat,Angebot,3500,control,kleinwagen,2007,manuell,92,swift,90000,9,benzin,suzuki,nein,2016-03-21 00:00:00,0,78462,2016-03-28 09:46:51
69268,69268,2016-03-23 20:55:45,Golf_IV_mit_Klimaautomatik__TÜV_bis_11.2016,privat,Angebot,1390,test,limousine,1998,manuell,75,golf,150000,6,benzin,volkswagen,nein,2016-03-23 00:00:00,0,49497,2016-03-28 03:17:11
173150,173150,2016-04-02 14:59:07,Mercedes_E320cdi_T_Sportpaket_Checkheft,privat,Angebot,18900,test,kombi,2007,automatik,224,e_klasse,150000,9,diesel,mercedes_benz,nein,2016-04-02 00:00:00,0,44807,2016-04-06 14:16:43
275533,275533,2016-04-01 22:51:55,Opel_Corsa_C_1.0l_12v_Comfort_mit_Tuev,privat,Angebot,1000,test,kleinwagen,2001,manuell,58,golf,150000,3,benzin,opel,nein,2016-04-01 00:00:00,0,45663,2016-04-05 21:45:15
194440,194440,2016-03-07 19:57:18,BMW_325_Ci_M_Sportpaket_2__TÜV_Scheckheft,privat,Angebot,7499,control,cabrio,2002,manuell,192,3er,150000,8,benzin,bmw,nein,2016-03-07 00:00:00,0,34225,2016-03-09 11:16:20
59133,59133,2016-03-14 22:54:49,Vw_passat_3bg,privat,Angebot,5600,control,limousine,2004,manuell,131,passat,150000,0,diesel,volkswagen,nein,2016-03-14 00:00:00,0,46284,2016-04-07 12:16:56
116004,116004,2016-03-14 00:49:00,Audi_TT_Cabrio_1.8._Turbo,privat,Angebot,6750,control,cabrio,2000,manuell,179,tt,150000,1,benzin,audi,nein,2016-03-13 00:00:00,0,66663,2016-04-07 03:17:39
147263,147263,2016-04-01 19:37:03,Volkswagen_Golf_Variant_1.6_TDI_DPF_Style,privat,Angebot,8549,control,kombi,2011,manuell,105,golf,150000,7,diesel,volkswagen,nein,2016-04-01 00:00:00,0,18109,2016-04-05 15:44:50
321910,321910,2016-04-01 09:51:34,Opel_ascona_b_+_drehgestell,privat,Angebot,1000,test,limousine,1985,manuell,0,andere,80000,0,benzin,opel,nein,2016-04-01 00:00:00,0,84178,2016-04-07 06:46:17
106200,106200,2016-03-21 14:46:09,Volvo_V40_1.9_D,privat,Angebot,1899,control,kombi,2004,manuell,116,v40,150000,4,diesel,volvo,nein,2016-03-21 00:00:00,0,32457,2016-04-06 11:17:39
51873,51873,2016-03-09 21:50:50,Nissan_Patrol_K160_–_Komplett_restauriert___mit_LKW_Zulassung,privat,Angebot,15000,test,suv,1988,manuell,110,andere,150000,10,diesel,nissan,nein,2016-03-09 00:00:00,0,92421,2016-04-05 23:46:34
70574,70574,2016-03-07 09:36:42,Verkaufe_Golf_4_1_4_L_Klima,privat,Angebot,799,control,limousine,2000,manuell,75,golf,150000,0,benzin,volkswagen,ja,2016-03-07 00:00:00,0,65620,2016-03-07 09:36:42
351178,351178,2016-03-27 01:37:13,Opel_Astra_F_Cabrio_Bertone_Edit_1.8_16V_e_Verdeck___Leder,privat,Angebot,1399,test,cabrio,1996,manuell,116,astra,150000,5,benzin,opel,nein,2016-03-27 00:00:00,0,28755,2016-04-07 04:16:12
105042,105042,2016-03-07 17:39:41,Volkswagen_Polo_1.2_Trendline,privat,Angebot,3200,test,kleinwagen,2009,manuell,60,polo,150000,4,benzin,volkswagen,nein,2016-03-07 00:00:00,0,30974,2016-03-28 05:44:57
228217,228217,2016-03-08 15:51:58,Ford_C_Max_mit_Motorschaden,privat,Angebot,2999,test,limousine,2017,manuell,125,c_max,125000,7,benzin,ford,ja,2016-03-08 00:00:00,0,26954,2016-03-08 15:51:58
323731,323731,2016-03-24 18:45:42,Renault_Espace,privat,Angebot,600,test,limousine,2016,automatik,0,espace,150000,0,benzin,renault,ja,2016-03-24 00:00:00,0,86169,2016-04-07 12:17:27
211692,211692,2016-04-02 20:43:07,Mercedes_Benz_A_160_Elegance,privat,Angebot,1650,test,limousine,1998,manuell,102,a_klasse,125000,3,benzin,mercedes_benz,nein,2016-04-02 00:00:00,0,48429,2016-04-06 20:47:41
322819,322819,2016-03-28 13:51:03,BMW_525i_Touring_Edition_Exclusive,privat,Angebot,17900,test,kombi,2008,manuell,218,5er,90000,4,benzin,bmw,nein,2016-03-28 00:00:00,0,26605,2016-04-06 17:45:54
267582,267582,2016-04-04 20:57:01,Golf_Kombi_1_4_neue_TÜV_bis_04.2018,privat,Angebot,2500,control,kombi,2001,manuell,75,golf,150000,4,benzin,volkswagen,nein,2016-04-04 00:00:00,0,81927,2016-04-06 23:44:22
231553,231553,2016-04-03 15:49:51,MINI_Mini_Cooper,privat,Angebot,3900,test,kleinwagen,2004,manuell,116,cooper,150000,12,benzin,mini,nein,2016-04-03 00:00:00,0,92237,2016-04-05 15:16:12
95422,95422,2016-04-01 10:41:56,Audi_A4_Cabrio_2_5_l_TDI_Vollausstattung._Inzahlung_moeglich_!,privat,Angebot,7000,control,cabrio,2003,automatik,0,a4,150000,8,diesel,audi,nein,2016-04-01 00:00:00,0,14822,2016-04-07 06:46:20
131510,131510,2016-03-14 21:48:14,Renault_Wind_TCe_100___8x_Reifen_Alu_Felgen___Unfallfrei,privat,Angebot,6650,test,cabrio,2010,manuell,101,andere,80000,10,benzin,renault,nein,2016-03-14 00:00:00,0,51545,2016-04-06 13:46:47
36631,36631,2016-04-03 09:52:37,VW_T3_Pritsche_zuverkaufen,privat,Angebot,1600,control,andere,1990,manuell,57,transporter,150000,0,diesel,volkswagen,nein,2016-04-03 00:00:00,0,72296,2016-04-07 11:17:39
239454,239454,2016-03-10 11:56:42,Renault_megane,privat,Angebot,1200,test,kombi,2000,manuell,107,megane,150000,10,benzin,renault,nein,2016-03-10 00:00:00,0,45476,2016-03-12 16:17:58
321150,321150,2016-03-28 13:49:54,Autoverkauf,privat,Angebot,1500,test,limousine,2002,manuell,120,147,150000,9,benzin,alfa_romeo,nein,2016-03-28 00:00:00,0,1109,2016-04-06 17:45:48
237002,237002,2016-03-21 21:58:10,Volkswagen_Golf_1.6_Rolling_Stones_Collection,privat,Angebot,800,control,limousine,1995,manuell,75,golf,150000,6,benzin,volkswagen,ja,2016-03-21 00:00:00,0,82515,2016-03-24 12:16:59
323754,323754,2016-03-12 17:44:05,Volkswagen_Bora_Variant_2.0_4Motion_Pacific,privat,Angebot,2799,test,kombi,2003,manuell,116,bora,150000,3,benzin,volkswagen,nein,2016-03-12 00:00:00,0,50735,2016-04-03 08:16:23
285269,285269,2016-03-21 15:25:20,Skoda_Octavia_Combi_1.6,privat,Angebot,4100,test,kombi,2007,manuell,102,octavia,150000,7,benzin,skoda,nein,2016-03-21 00:00:00,0,55411,2016-03-26 03:45:31
248780,248780,2016-03-13 18:36:18,Opel_Astra_Caravan,privat,Angebot,500,test,kombi,1997,manuell,75,astra,150000,10,benzin,opel,ja,2016-03-13 00:00:00,0,35792,2016-03-23 18:46:25
368508,368508,2016-03-14 14:52:51,TOP_gepflegtes_Rentnerfahrzeug_mit_Vollausstattung_und_Extras,privat,Angebot,7490,control,suv,2006,manuell,141,tucson,80000,10,benzin,hyundai,nein,2016-03-14 00:00:00,0,49477,2016-04-03 17:18:14
30694,30694,2016-03-25 17:55:51,Hyundai_ix35_2.0_2WD_Style,privat,Angebot,10850,test,suv,2010,manuell,163,i_reihe,70000,7,benzin,hyundai,nein,2016-03-25 00:00:00,0,57080,2016-03-26 14:24:57
99610,99610,2016-03-05 21:55:13,Volkswagen_Bora_Variant_2.3_V5_Highline,privat,Angebot,2000,test,kombi,1999,manuell,150,bora,150000,10,benzin,volkswagen,nein,2016-03-05 00:00:00,0,1159,2016-03-06 03:16:18
166772,166772,2016-03-05 18:58:18,Audi_A5_3.0_TDI_Sportback_quattro_DPF_S_tronic,privat,Angebot,32950,test,coupe,2013,automatik,245,a5,50000,12,diesel,audi,nein,2016-03-05 00:00:00,0,87435,2016-03-21 02:17:35
231982,231982,2016-04-04 16:25:57,Mitsubishi_Outlander_4x4,privat,Angebot,6500,test,suv,2007,automatik,160,outlander,100000,5,benzin,mitsubishi,nein,2016-04-04 00:00:00,0,65391,2016-04-05 11:38:04
283726,283726,2016-03-19 16:52:39,Opel_Corsa__C_Sport,privat,Angebot,1400,test,limousine,2002,manuell,75,corsa,150000,4,benzin,opel,nein,2016-03-19 00:00:00,0,32756,2016-03-28 20:18:53
90826,90826,2016-03-19 12:36:21,Nissan_Almera_1.5_acenta_1.Vorbesitzer_Klima_TÜV06/2017,privat,Angebot,2700,test,limousine,2006,manuell,98,almera,125000,4,benzin,nissan,nein,2016-03-19 00:00:00,0,44805,2016-03-20 14:16:06
195345,195345,2016-03-05 20:48:29,BMW_523i_touring_NEU_TÜV,privat,Angebot,2750,control,kombi,2000,manuell,170,5er,150000,9,benzin,bmw,nein,2016-03-05 00:00:00,0,64665,2016-03-16 21:15:23
134485,134485,2016-04-03 10:49:41,Fiat_Panda_sehr_gepflegt__knapp_4_Jahre_alt,privat,Angebot,5990,control,kleinwagen,2012,manuell,60,panda,20000,12,benzin,fiat,nein,2016-04-03 00:00:00,0,15517,2016-04-07 11:46:21
294412,294412,2016-04-01 10:51:42,Volkswagen_Polo_1.6_TDI_Style_Vollausstattung,privat,Angebot,11950,control,kleinwagen,2011,manuell,105,polo,90000,9,diesel,volkswagen,nein,2016-04-01 00:00:00,0,42853,2016-04-03 06:48:47
204289,204289,2016-03-16 21:55:47,Mercedes_Benz_C_220_T_CDI_Navi_AHK__Tuev_neu,privat,Angebot,3888,control,kombi,2005,manuell,150,c_klasse,150000,1,diesel,mercedes_benz,nein,2016-03-16 00:00:00,0,23560,2016-03-16 23:43:11
82106,82106,2016-04-01 17:37:31,Renault_Twingo_enjoy_1_2_l__blaumetallic,privat,Angebot,1450,test,kleinwagen,1998,manuell,58,twingo,150000,4,benzin,renault,nein,2016-04-01 00:00:00,0,76189,2016-04-05 12:46:08
77528,77528,2016-03-22 10:38:51,Opel_1.6_Edition__Rentnerfahrzeug,privat,Angebot,6300,control,bus,2007,manuell,105,meriva,40000,10,benzin,opel,nein,2016-03-22 00:00:00,0,68649,2016-03-22 10:38:51
231012,231012,2016-03-14 09:36:17,Smart_Fortwo_TÜV_bis_03/2018_Panorama_85260_Km_Original,privat,Angebot,1990,control,coupe,2003,manuell,54,fortwo,90000,1,benzin,smart,nein,2016-03-14 00:00:00,0,45327,2016-03-15 04:46:40
156631,156631,2016-03-28 12:37:51,Volvo_XC60_D5_AWD_Aut.,privat,Angebot,35800,test,suv,2013,automatik,215,xc_reihe,20000,2,diesel,volvo,nein,2016-03-28 00:00:00,0,31515,2016-04-06 15:15:35
227981,227981,2016-03-15 20:38:37,Volkswagen_Passat_CC_2.0_TDI_DSG_AHK,privat,Angebot,15900,test,coupe,2010,automatik,170,passat,100000,5,diesel,volkswagen,nein,2016-03-15 00:00:00,0,45897,2016-04-07 01:46:45
129855,129855,2016-03-30 10:54:56,Ford_Mondeo_V6_Ghia,privat,Angebot,1500,test,limousine,2000,automatik,170,mondeo,150000,1,benzin,ford,nein,2016-03-30 00:00:00,0,45721,2016-03-30 11:43:43
345106,345106,2016-04-04 17:25:21,Opel_Astra_h_1_7_cdti_Unfallwagen,privat,Angebot,2400,control,kombi,2008,manuell,125,astra,150000,9,diesel,opel,ja,2016-04-04 00:00:00,0,60529,2016-04-05 12:20:02
307047,307047,2016-03-05 22:41:36,Schoenes__gepflegtes_Cabriolet_BMW_320_d_Cabrio_Autom._exkl._Ed.,privat,Angebot,27500,control,cabrio,2013,automatik,184,3er,50000,0,benzin,bmw,nein,2016-03-05 00:00:00,0,47906,2016-04-07 08:45:31
349136,349136,2016-03-25 08:25:24,A8_4.2_LPG_Prins_Tuev_02/17,privat,Angebot,5200,test,limousine,2000,automatik,310,a8,150000,6,lpg,audi,nein,2016-03-25 00:00:00,0,61389,2016-03-26 15:15:04
7957,7957,2016-03-17 19:37:21,E_280_7G_TRONIC_Eleganze_Festlief,privat,Angebot,9000,control,limousine,2017,automatik,0,e_klasse,150000,7,benzin,mercedes_benz,nein,2016-03-17 00:00:00,0,44287,2016-03-17 19:37:21
64070,64070,2016-03-28 09:50:50,Audi_A3_eventuell_Tausch._140tkm_Kupplung_neu_8_fach_bereift,privat,Angebot,1400,control,kleinwagen,1997,manuell,101,a3,150000,6,benzin,audi,ja,2016-03-28 00:00:00,0,88454,2016-03-31 05:17:22
16590,16590,2016-03-11 17:25:24,A6_Kombi_2.0_TDI_DPF,privat,Angebot,4100,test,kombi,2006,manuell,0,a6,150000,8,diesel,audi,nein,2016-03-11 00:00:00,0,56462,2016-03-11 17:30:52
286597,286597,2016-04-01 16:50:26,Renault_Clio_Dynamique_1.6_16v_sport_112ps,privat,Angebot,3399,control,coupe,2006,manuell,112,clio,150000,4,benzin,renault,nein,2016-04-01 00:00:00,0,63128,2016-04-05 12:17:07
23984,23984,2016-03-29 21:40:53,Golf_6_Cabrio_1.4_TSI_DSG_Exclusive_LED_Bi_Xenon_18_Zoll,privat,Angebot,23499,test,cabrio,2013,automatik,160,golf,30000,6,benzin,volkswagen,nein,2016-03-29 00:00:00,0,45359,2016-04-02 10:18:02
304915,304915,2016-03-29 12:56:54,Volkswagen_Golf_Variant_2.0_TDI_DPF_Comfortline,privat,Angebot,6500,test,kombi,2009,manuell,140,golf,150000,5,diesel,volkswagen,nein,2016-03-29 00:00:00,0,8066,2016-04-05 22:46:29
167456,167456,2016-03-21 18:45:44,RENAULT_TWINGO_1_2_16v__HA/AU_neu__*servo*faltdach*,privat,Angebot,1300,test,kleinwagen,2002,manuell,75,twingo,150000,4,benzin,renault,nein,2016-03-21 00:00:00,0,24220,2016-03-28 13:47:05
